#          r        u(r)        g(r)
    0.010000         inf    0.000000
    0.020000         inf    0.000000
    0.030000         inf    0.000000
    0.040000         inf    0.000000
    0.050000         inf    0.000000
    0.060000         inf    0.000000
    0.070000         inf    0.000000
    0.080000         inf    0.000000
    0.090000         inf    0.000000
    0.100000         inf    0.000000
    0.110000         inf    0.000000
    0.120000         inf    0.000000
    0.130000         inf    0.000000
    0.140000         inf    0.000000
    0.150000         inf    0.000000
    0.160000         inf    0.000000
    0.170000         inf    0.000000
    0.180000         inf    0.000000
    0.190000         inf    0.000000
    0.200000         inf    0.000000
    0.210000         inf    0.000000
    0.220000         inf    0.000000
    0.230000         inf    0.000000
    0.240000         inf    0.000000
    0.250000         inf    0.000000
    0.260000         inf    0.000000
    0.270000         inf    0.000000
    0.280000         inf    0.000000
    0.290000         inf    0.000000
    0.300000         inf    0.000000
    0.310000         inf    0.000000
    0.320000         inf    0.000000
    0.330000         inf    0.000000
    0.340000         inf    0.000000
    0.350000         inf    0.000000
    0.360000         inf    0.000000
    0.370000         inf    0.000000
    0.380000         inf    0.000000
    0.390000         inf    0.000000
    0.400000         inf    0.000000
    0.410000         inf    0.000000
    0.420000         inf    0.000000
    0.430000         inf    0.000000
    0.440000         inf    0.000000
    0.450000         inf    0.000000
    0.460000         inf    0.000000
    0.470000         inf    0.000000
    0.480000         inf    0.000000
    0.490000         inf    0.000000
    0.500000         inf    0.000000
    0.510000         inf    0.000000
    0.520000         inf    0.000000
    0.530000         inf    0.000000
    0.540000         inf    0.000000
    0.550000         inf    0.000000
    0.560000         inf    0.000000
    0.570000         inf    0.000000
    0.580000         inf    0.000000
    0.590000         inf    0.000000
    0.600000         inf    0.000000
    0.610000         inf    0.000000
    0.620000         inf    0.000000
    0.630000         inf    0.000000
    0.640000         inf    0.000000
    0.650000         inf    0.000000
    0.660000         inf    0.000000
    0.670000         inf    0.000000
    0.680000         inf    0.000000
    0.690000         inf    0.000000
    0.700000         inf    0.000000
    0.710000         inf    0.000000
    0.720000         inf    0.000000
    0.730000         inf    0.000000
    0.740000         inf    0.000000
    0.750000         inf    0.000000
    0.760000         inf    0.000000
    0.770000         inf    0.000000
    0.780000         inf    0.000000
    0.790000         inf    0.000000
    0.800000         inf    0.000000
    0.810000         inf    0.000000
    0.820000         inf    0.000000
    0.830000         inf    0.000000
    0.840000         inf    0.000000
    0.850000         inf    0.000000
    0.860000         inf    0.000000
    0.870000         inf    0.000000
    0.880000         inf    0.000000
    0.890000         inf    0.000000
    0.900000         inf    0.000000
    0.910000         inf    0.000000
    0.920000         inf    0.000000
    0.930000         inf    0.000000
    0.940000         inf    0.000000
    0.950000         inf    0.000000
    0.960000         inf    0.000000
    0.970000         inf    0.000000
    0.980000         inf    0.000000
    0.990000         inf    0.000000
    1.000000    0.000000    3.703704
    1.010000    0.000000    3.494491
    1.020000    0.000000    3.306879
    1.030000    0.000000    3.137433
    1.040000    0.000000    2.983347
    1.050000    0.000000    2.842329
    1.060000    0.000000    2.712500
    1.070000    0.000000    2.592325
    1.080000    0.000000    2.480539
    1.090000    0.000000    2.376107
    1.100000    0.000000    2.278175
    1.110000    0.000000    2.186036
    1.120000    0.000000    2.099107
    1.130000    0.000000    2.016901
    1.140000    0.000000    1.939013
    1.150000    0.000000    1.865103
    1.160000    0.000000    1.794883
    1.170000    0.000000    1.728109
    1.180000    0.000000    1.664572
    1.190000    0.000000    1.604092
    1.200000    0.000000    1.546511
    1.210000    0.000000    1.491692
    1.220000    0.000000    1.439511
    1.230000    0.000000    1.389860
    1.240000    0.000000    1.342638
    1.250000    0.000000    1.297755
    1.260000    0.000000    1.255126
    1.270000    0.000000    1.214673
    1.280000    0.000000    1.176324
    1.290000    0.000000    1.140008
    1.300000    0.000000    1.105659
    1.310000    0.000000    1.073215
    1.320000    0.000000    1.042615
    1.330000    0.000000    1.013800
    1.340000    0.000000    0.986714
    1.350000    0.000000    0.961302
    1.360000    0.000000    0.937511
    1.370000    0.000000    0.915288
    1.380000    0.000000    0.894584
    1.390000    0.000000    0.875348
    1.400000    0.000000    0.857534
    1.410000    0.000000    0.841093
    1.420000    0.000000    0.825979
    1.430000    0.000000    0.812148
    1.440000    0.000000    0.799557
    1.450000    0.000000    0.788161
    1.460000    0.000000    0.777920
    1.470000    0.000000    0.768792
    1.480000    0.000000    0.760739
    1.490000    0.000000    0.753720
    1.500000    0.000000    0.747698
    1.510000    0.000000    0.742637
    1.520000    0.000000    0.738501
    1.530000    0.000000    0.735255
    1.540000    0.000000    0.732864
    1.550000    0.000000    0.731297
    1.560000    0.000000    0.730521
    1.570000    0.000000    0.730505
    1.580000    0.000000    0.731220
    1.590000    0.000000    0.732635
    1.600000    0.000000    0.734724
    1.610000    0.000000    0.737458
    1.620000    0.000000    0.740811
    1.630000    0.000000    0.744758
    1.640000    0.000000    0.749274
    1.650000    0.000000    0.754336
    1.660000    0.000000    0.759920
    1.670000    0.000000    0.766005
    1.680000    0.000000    0.772569
    1.690000    0.000000    0.779592
    1.700000    0.000000    0.787055
    1.710000    0.000000    0.794938
    1.720000    0.000000    0.803223
    1.730000    0.000000    0.811893
    1.740000    0.000000    0.820932
    1.750000    0.000000    0.830323
    1.760000    0.000000    0.840052
    1.770000    0.000000    0.850104
    1.780000    0.000000    0.860465
    1.790000    0.000000    0.871122
    1.800000    0.000000    0.882063
    1.810000    0.000000    0.893275
    1.820000    0.000000    0.904747
    1.830000    0.000000    0.916469
    1.840000    0.000000    0.928431
    1.850000    0.000000    0.940622
    1.860000    0.000000    0.953035
    1.870000    0.000000    0.965659
    1.880000    0.000000    0.978489
    1.890000    0.000000    0.991515
    1.900000    0.000000    1.004730
    1.910000    0.000000    1.018130
    1.920000    0.000000    1.031706
    1.930000    0.000000    1.045454
    1.940000    0.000000    1.059368
    1.950000    0.000000    1.073444
    1.960000    0.000000    1.087677
    1.970000    0.000000    1.102064
    1.980000    0.000000    1.116599
    1.990000    0.000000    1.131281
    2.000000    0.000000    1.146105
    2.010000    0.000000    1.159499
    2.020000    0.000000    1.170105
    2.030000    0.000000    1.178217
    2.040000    0.000000    1.184099
    2.050000    0.000000    1.187983
    2.060000    0.000000    1.190079
    2.070000    0.000000    1.190575
    2.080000    0.000000    1.189643
    2.090000    0.000000    1.187438
    2.100000    0.000000    1.184102
    2.110000    0.000000    1.179764
    2.120000    0.000000    1.174545
    2.130000    0.000000    1.168555
    2.140000    0.000000    1.161895
    2.150000    0.000000    1.154659
    2.160000    0.000000    1.146934
    2.170000    0.000000    1.138801
    2.180000    0.000000    1.130335
    2.190000    0.000000    1.121605
    2.200000    0.000000    1.112676
    2.210000    0.000000    1.103606
    2.220000    0.000000    1.094450
    2.230000    0.000000    1.085261
    2.240000    0.000000    1.076084
    2.250000    0.000000    1.066962
    2.260000    0.000000    1.057936
    2.270000    0.000000    1.049041
    2.280000    0.000000    1.040311
    2.290000    0.000000    1.031775
    2.300000    0.000000    1.023461
    2.310000    0.000000    1.015394
    2.320000    0.000000    1.007594
    2.330000    0.000000    1.000082
